"station","name","lon","lat"
2200044,"Ім.Бориса Олійника",31.66485214,51.36696243
2214220,"Попасна",38.3793869,48.63018417
2214280,"Макіївка-Пасажирська",37.948889,48.102222
2208340,"Черкаси",32.049722,49.425833
2201156,"Івотка",33.79925537,51.94389725
2208504,"Новий Буг",32.57674408,47.68543625
2204153,"Старовірівка",37.447111,49.677121
2210760,"Павлоград 1",35.85538483,48.55069733
2214080,"Родакове",39.0231514,48.55485916
2208521,"Біла Криниця",33.196114,47.351719
2210675,"Якимівка",35.164241,46.680123
2214040,"Слов'янськ",37.56016159,48.83166885
2204911,"Первомайське-Південне",37.253056,49.667778
2200013,"Терещенська",33.48123169,51.76427841
2208440,"Долинська",32.76350403,48.10830688
2210790,"Новоолексіївка",34.64642715,46.22600555
2214090,"Комунарськ",38.77696609,48.48334503
2204590,"Полтава-Південна",34.59515762,49.58200073
2208370,"Христинівка",29.97229004,48.81555557
2214110,"Краматорськ",37.543056,48.725833
2214134,"Первомайськ",38.57722092,48.62574768
2218290,"Свалява",22.98799515,48.5516243
2200057,"Кононівка",32.10670471,50.17776871
2200154,"Чорнорудка",29.033079,49.848004
2214092,"Кипуча",38.6978035,48.43964767
2214210,"Дебальцеве",38.4278,48.3411
2200020,"Кролевець",33.36281967,51.55152512
2210950,"Владиславівка",35.378439,45.168373
2208520,"Затишшя",29.87870216,47.33597565
2214150,"Мануїлівка",38.634605,48.408634
2200004,"Київ-Московський",30.53667641,50.40513992
2218083,"Миколаїв-Дністровський",23.95352554,49.51156616
2210755,"Партизани",34.809634,46.380048
2200009,"Видубичі",30.559063,50.402673
2200152,"Брівки",29.21246529,49.92425537
2214070,"Стаханов",38.58451843,48.51875305
2200194,"Голендри",28.71545029,49.56540298
2200059,"Яготин",31.79592896,50.2376976
2200311,"Караваєві Дачі",30.44906425,50.43795395
2214190,"Вуглегірськ",38.27385,48.316951
2200051,"Бобровиця",31.37050056,50.76335144
2200151,"Попільня",29.45942307,49.94448471
2204426,"Чугуїв",36.66906738,49.8188591
2218145,"Воловець",23.18463326,48.71362305
2200006,"Вишневе",30.37014198,50.38454437
2200052,"Заворичі",31.13568306,50.69010925
2208526,"Снігурівка",32.78028488,47.06530762
2210690,"Бердянськ",36.803936,46.75098801
2210855,"Сокологірне",34.948215,46.499486
2200061,"Березань",31.50191116,50.32816696
2204512,"Кириківка",35.1348381,50.34339905
2218025,"Красне",24.61468315,49.91688919
2208460,"Роздільна 1",30.0738163,46.85012054
2200062,"Баришівка",31.31659317,50.34658813
2214078,"Байрак",38.13224792,48.31621933
2200090,"Овруч",28.8175354,51.32494354
2210735,"Нижньогірська",34.735869,45.448644
2208373,"Тальне",30.723319,48.89483
2218273,"Лавочне",23.35759544,48.81064224
2204526,"Коломак",35.21837234,49.85527039
2210750,"Севастополь",33.529153,44.594985
2210840,"Рокувата",33.47809982,48.04392624
2200064,"Бориспіль",30.94447899,50.37704086
2204525,"Водяна",35.367342,49.92626
2200093,"Малин",29.29552269,50.77466202
2200268,"Волочиськ",26.20843124,49.53224564
2210880,"Феодосія",35.383978,45.030114
2208353,"Фундукліївка",32.252222,48.973056
2218260,"Підволочиськ",26.14082146,49.52920914
2200184,"Кривин",26.70063591,50.36166382
2204002,"Харків-Левада",36.24369431,49.9801178
2208379,"Звенигородка",30.98323631,48.9823494
2218088,"Сколе",23.50455475,49.03417969
2200036,"Крути",32.14618301,51.08159256
2200142,"Кожанка",29.73148346,49.9810791
2200240,"Хмільник",27.98413849,49.55939865
2200140,"Боярка",30.29888535,50.31715775
2204420,"Ізюм",37.30156326,49.21604919
2200053,"Бровари",30.81330872,50.51470947
2208359,"Цвіткове",31.530068,49.152704
2200230,"Старокостянтинів 2",27.27894211,49.73361206
2200141,"Мотовилівка",30.10518265,50.1819191
2214400,"Маріуполь",37.55511475,47.08500671
2210850,"Пологи",36.25891495,47.47629929
2204519,"Люботин",35.92715454,49.94137955
2200763,"Славута 1",26.88510704,50.32071686
2210699,"Нельгівка",36.295501,47.04213
2208304,"Кучурган",30.00233269,46.7538147
2214250,"Іловайськ",38.19676208,47.92401123
2218965,"Карпати",22.87857437,48.5229187
2219095,"Ківерці",25.46215439,50.83029175
2208502,"Казанка",32.76313019,47.88314819
2208544,"Брилівка",33.16015244,46.42311096
2214260,"Ханженкове",38.07767105,48.08588028
2200139,"Васильків 1",30.22492599,50.22576141
2204516,"Богодухів",35.48994064,50.15671158
2214230,"Волноваха",37.48979568,47.60163498
2210777,"Камиш-Зоря",36.69855881,47.32795334
2204514,"Куп'єваха",35.30903625,50.23041534
2201143,"Понінка",27.5247879,50.13801575
2210695,"Верхньодніпровськ",34.374901,48.552663
2214013,"Межова",36.73203659,48.24965668
2210815,"Верхівцеве",34.23740387,48.4824791
2214281,"Розівка",37.06277847,47.37386322
2200003,"Київ-Волинський",30.43130493,50.41088867
2208415,"Куцівка",32.78866196,48.30960083
2210930,"Чаплине",36.23392105,48.12745667
2204508,"Скрягівка",34.91970825,50.54670334
2214023,"Рутченкове",37.68441772,47.9651947
2214279,"Зачатівська",37.19776917,47.47019958
2204507,"Боромля",34.87734985,50.65094757
2214369,"Лантратівка",38.289723,49.922635
2200286,"Алтинівка",33.22000504,51.45275116
2210895,"Бахчисарай",33.8493,44.7557
2210845,"Пришиб",35.32557678,47.2587738
2210820,"Урожайна",34.293972,45.502674
2210831,"Дніпробуд 2",35.02594757,47.80973434
2214267,"Велико-Анадоль",37.48587036,47.69825363
2210910,"Новомосковськ-Дніпровський",35.23220444,48.64247131
2200186,"Острог",26.49409294,50.4370079
2214009,"Просяна",36.37220764,48.11766052
2214375,"Білокуракине",38.717682,49.548628
2208434,"Рудниця",28.93438148,48.26064682
2204410,"Основа",36.23974991,49.93603516
2204494,"Вири",34.37476349,51.0212059
2201239,"Хороше Озеро",32.26805115,51.08506775
2214137,"Старобільськ",38.928332,49.277635
2204428,"Мохнач",36.47913742,49.83260345
2208376,"Поташ",30.32891083,48.92014313
2200244,"Хоробичі",31.492233,52.029957
2208540,"Миколаїв-Вантажний",31.9756012,46.95736313
